Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.06614397,0.1450747,0.04068882,0.05838842,0.03777128,0.03348071,0.03423447,0.03500613,0.04071034,0.1358044,2.832757,2.707249,0.225492,False,False,False,False,False,-0.01748563,0.2323201,-0.05912382,0.1504868,0.1549767,0.1576075,0.1658881,0.1696052,0.04071034,0.02295575,2.721238,-2.271487,-0.1600018,False,False,False,False,False,0.141216
,-0.06548161,0.1441093,0.04009119,0.0573451,0.03652718,0.03304322,0.03407213,0.03500549,0.06778865,0.1410118,2.809625,2.725672,0.1975511,False,False,False,False,False,0.001144387,0.2788484,-0.06569456,0.1926036,0.2000924,0.2036948,0.2116336,0.2145545,0.06778865,0.02895545,2.476922,-2.371063,-0.3073994,False,False,False,False,False,0.183805
,-0.0627057,0.1423236,0.04002963,0.0565319,0.03592151,0.03291889,0.03391812,0.03473173,0.04011821,0.1363451,2.835645,2.72128,0.2258475,False,False,False,False,False,0.0027783,0.2985609,-0.07240228,0.2128093,0.2192668,0.2234051,0.2311413,0.233768,0.04011821,0.03354011,2.325376,-2.406983,-0.5077925,False,False,False,False,False,0.2033204
,-0.06145005,0.1422426,0.03976312,0.05664576,0.03638971,0.03284576,0.03374397,0.03466656,0.05427298,0.1217927,2.860267,2.718866,0.2157725,False,False,False,False,False,-0.01743396,0.2909174,-0.07640563,0.2129317,0.2109842,0.2137792,0.2207318,0.2226314,0.05427298,0,2.364643,-2.261787,-0.441626,False,False,False,False,False,0.1937441
,-0.06052663,0.1423554,0.03867773,0.05667396,0.03671027,0.03257514,0.03338865,0.03446653,0.04294528,0.09994094,2.909862,2.68357,0.2121777,False,False,False,False,False,-0.03037051,0.2456281,-0.07332181,0.1794994,0.1690912,0.1706619,0.177999,0.1808117,0.04294528,0,2.839534,-2.207664,-0.08320613,False,False,False,False,False,0.1553014
,-0.0628461,0.142599,0.03822857,0.05495537,0.03647028,0.03270109,0.03352882,0.03464271,0.1047494,0.08878852,2.923381,2.667109,0.2103149,False,False,False,False,False,-0.03305975,0.2326898,-0.06765321,0.1666096,0.1541026,0.1563345,0.1641739,0.1674185,0.1047494,0.03285575,3.005599,-2.192691,0.01391981,False,False,False,False,False,0.1421778
,-0.06706334,0.1431796,0.03892787,0.05669098,0.03520243,0.03236054,0.03355876,0.03480835,0.09373505,0.09095038,2.909472,2.693266,0.1695199,False,False,False,False,False,-0.02108214,0.2619891,-0.0633475,0.1882645,0.1772462,0.1808695,0.1889497,0.1917314,0.09373505,0.0126438,2.576709,-2.264058,-0.2256366,False,False,False,False,False,0.1633715
,-0.0680678,0.1424465,0.0386029,0.05732894,0.03539689,0.03268795,0.03376223,0.0347586,0.005731991,0.1070038,2.920409,2.689797,0.1681002,False,False,False,False,False,-0.01272851,0.2843632,-0.06959083,0.2095354,0.2015357,0.2055411,0.2134831,0.2158711,0.005731991,0.02833612,2.436266,-2.332459,-0.4164572,False,False,False,False,False,0.1868386
,-0.06680215,0.1413016,0.03882976,0.05725146,0.03573476,0.03275486,0.03375134,0.0346049,0.06129377,0.1063799,2.935033,2.687298,0.1587469,False,False,False,False,False,-0.02150085,0.2887591,-0.07795257,0.2180115,0.2092856,0.2123255,0.2195719,0.2212721,0.06129377,0.01843769,2.321952,-2.386267,-0.615949,False,False,False,False,False,0.1934788
,-0.06389827,0.1414742,0.04009367,0.05739771,0.03664522,0.03261034,0.03353196,0.03444451,0.06406995,0.09827571,2.942266,2.668063,0.1840338,False,False,False,False,False,-0.04923374,0.2565519,-0.0866385,0.2014086,0.1871693,0.1872035,0.1934601,0.194839,0.06406995,0,2.562591,-2.172156,-0.2441015,False,False,False,False,False,0.1718109
,-0.06123689,0.1414385,0.04023173,0.05646703,0.03596964,0.03236495,0.03348037,0.03466848,0.03212305,0.06538957,2.953543,2.647322,0.1832439,False,False,False,False,False,-0.05386874,0.2308134,-0.08950952,0.1872446,0.1691838,0.169056,0.1756098,0.1777643,0.03212305,0.01065697,3.063338,-2.117423,0.06274321,False,False,False,False,False,0.157718
,-0.0614576,0.140664,0.04009846,0.05653974,0.0366336,0.03259108,0.03350185,0.03468123,0.01730896,0.07733347,2.958617,2.646232,0.1889418,False,False,False,False,False,-0.05018153,0.2450276,-0.0756881,0.1876314,0.1709549,0.1711654,0.1777371,0.1795023,0.01730896,0,2.784844,-2.206569,-0.09329661,False,False,False,False,False,0.1562865
,-0.0631902,0.1412314,0.04024065,0.05675435,0.03630747,0.03272421,0.03363821,0.03465382,0.02743669,0.08578217,2.94957,2.661376,0.1753184,False,False,False,False,False,-0.03593712,0.2810951,-0.07852331,0.2148836,0.2017978,0.2036062,0.2103797,0.2118366,0.02743669,0,2.433961,-2.259159,-0.3219468,False,False,False,False,False,0.1854979
,-0.06484011,0.1406608,0.04006056,0.05778319,0.03614875,0.0326781,0.03370185,0.03465801,0.03621428,0.09134552,2.949977,2.670213,0.1494813,False,False,False,False,False,-0.03041217,0.2959779,-0.08287406,0.2296032,0.2180838,0.2201058,0.2268455,0.2280019,0.03621428,0.02641458,2.361442,-2.316311,-0.4721371,False,False,False,False,False,0.2010513
,-0.0656246,0.1411631,0.04073545,0.05794116,0.03636422,0.0326994,0.03364871,0.03460815,0.03480855,0.09316178,2.954506,2.678658,0.139957,False,False,False,False,False,-0.04435671,0.2859007,-0.08725192,0.226026,0.2121482,0.2127899,0.2187665,0.2193652,0.03480855,0,2.378497,-2.217395,-0.3775418,False,False,False,False,False,0.1943761
,-0.06602186,0.1431092,0.04049676,0.05744246,0.03625432,0.03255771,0.03356327,0.03478434,0.05695064,0.09289273,2.958437,2.672647,0.1498796,False,False,False,False,False,-0.05308326,0.248749,-0.08530462,0.1968547,0.1796066,0.1794835,0.1856737,0.1870709,0.05695064,0,2.832693,-2.187654,-0.0199547,False,False,False,False,False,0.1647821
,-0.06757785,0.145675,0.04017914,0.05624196,0.03590509,0.0326426,0.03362418,0.0348501,0.101733,0.09498315,2.95695,2.660097,0.1712544,False,False,False,False,False,-0.05358506,0.2392181,-0.07707381,0.1817354,0.163708,0.1642127,0.1708178,0.1729279,0.101733,0.03176603,2.962171,-2.179161,0.03634062,False,False,False,False,False,0.1506465
,-0.06956333,0.147803,0.04013748,0.05646226,0.03599492,0.03273177,0.03369866,0.03487058,0.0693492,0.09822074,2.960422,2.665939,0.1578325,False,False,False,False,False,-0.04354673,0.26081,-0.07115373,0.190844,0.1755811,0.1770906,0.1840713,0.186093,0.0693492,0.01079462,2.520922,-2.248016,-0.2404912,False,False,False,False,False,0.1607271
