Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
Who,,,,,,,,,,,,,,,,,,,0.03659235,0.3237307,-0.0939466,0.05187055,0.05665938,0.03368249,0.03356628,0.03507471,0.03784354,0.04401468,2.427996,-2.518348,-1.049451,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03723653,0.3241839,-0.09365419,0.05239801,0.07426424,0.0357587,0.0341793,0.03518217,0.01163013,0.03210828,2.440298,-2.523913,-1.041183,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03851549,0.3237972,-0.09445461,0.05371075,0.08364153,0.04033465,0.03429634,0.0345073,0.04728488,0.01409876,2.463727,-2.535746,-1.056555,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03833814,0.3232421,-0.09479685,0.05458749,0.0856557,0.04102429,0.03407953,0.03438538,0.02006934,0.02559819,2.493181,-2.535077,-1.081889,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03745027,0.3229154,-0.09521694,0.05536903,0.0849759,0.04150474,0.03438159,0.03408746,0.02509415,0.02963283,2.49007,-2.526609,-1.092274,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03565901,0.3235922,-0.0949831,0.05616783,0.07918712,0.03645276,0.0345979,0.0349427,0.04065329,0.03122443,2.452297,-2.543126,-1.140712,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03618973,0.3241593,-0.09622803,0.05609622,0.07389525,0.03533832,0.03400002,0.03472734,0.03142446,0.03938052,2.433166,-2.547312,-1.153761,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03621205,0.3247997,-0.09714709,0.05619989,0.07025252,0.03492684,0.03379942,0.03470867,0.01496484,0.03471217,2.41633,-2.548922,-1.156736,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03580687,0.3252829,-0.09714497,0.05541869,0.07690463,0.03744484,0.034677,0.03500278,0.01716393,0.008464416,2.411229,-2.564152,-1.159217,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03710154,0.3246529,-0.09818553,0.05534852,0.08487935,0.03988462,0.03407294,0.03444631,0.01444752,0.03209794,2.443957,-2.56134,-1.135271,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03671471,0.3245906,-0.09848014,0.05516623,0.08457471,0.03836368,0.03452999,0.03463785,0.02161144,0.04554471,2.461474,-2.544045,-1.092401,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03809446,0.3252584,-0.09878141,0.05668215,0.04414008,0.03439754,0.03408687,0.03486891,0.05135853,0.05437196,2.455287,-2.546812,-1.091485,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0385878,0.3262376,-0.09912504,0.05620107,0.03894882,0.0330155,0.0336015,0.0351009,0.03611502,0.0641404,2.410059,-2.555826,-1.084651,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04030996,0.3275036,-0.09945291,0.05576161,0.03858138,0.03285215,0.03358784,0.03521867,0.03793398,0.06495345,2.39835,-2.579385,-1.083873,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04057017,0.3281193,-0.09939382,0.05591476,0.05109715,0.03518889,0.03442791,0.03535853,0.01463038,0.03284094,2.397819,-2.578338,-1.064205,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04033833,0.3274306,-0.0978547,0.05471282,0.08498348,0.03782436,0.03437708,0.03543548,0.06200325,0.0508508,2.468761,-2.577972,-1.018487,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0409534,0.3270305,-0.09561689,0.05633482,0.08606109,0.03900358,0.03449037,0.0353779,0.0425792,0.0477212,2.49832,-2.594437,-1.03157,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0418957,0.3274199,-0.09634303,0.06050942,0.07398845,0.03836969,0.03461771,0.03474468,0.03170575,0.0490752,2.483387,-2.586257,-1.043778,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04264982,0.3287169,-0.09747005,0.0607044,0.04037794,0.03366328,0.03398289,0.03522662,0.03416,0.06583866,2.425172,-2.588063,-1.085405,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04301177,0.3300702,-0.09760453,0.05949783,0.03849743,0.03337603,0.03389326,0.03526605,0.02775232,0.06736645,2.393808,-2.587401,-1.087978,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04284258,0.3308176,-0.09706961,0.05900302,0.04437577,0.03445084,0.03426843,0.03538468,0.03151194,0.05407033,2.392433,-2.584396,-1.084066,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04020919,0.3282647,-0.09521106,0.0559906,0.08510364,0.03713581,0.03450859,0.03568024,0.1145739,0.06639063,2.477659,-2.556166,-1.017309,False,True,False,False,False,0
