Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0020759,0.1395076,0.04307602,0.0661709,0.09199828,0.09477651,0.08622182,0.07569828,0.01797591,0.1869689,3.132362,2.366117,-0.08360463,True,True,True,True,False,0.02516698,0.2934812,-0.1027185,0.233301,0.272935,0.2873836,0.2900347,0.2845877,0.01797591,0,2.220939,-2.555475,-0.4158796,False,False,False,False,False,0.2133005
,0.002090844,0.1392468,0.04321489,0.06617459,0.09222715,0.09491409,0.08633553,0.07582728,0.008251564,0.1790629,-3.138118,2.361972,-0.09735557,True,True,True,True,False,0.01185586,0.2788117,-0.1027196,0.2245709,0.2662637,0.2801057,0.2815835,0.2748944,0.008251564,0,2.347275,-2.494968,-0.312998,False,False,False,False,False,0.2021647
,0.001886106,0.1411836,0.04283201,0.06546958,0.09250999,0.09490108,0.08616699,0.07565781,0.0526702,0.1738953,3.127617,2.354067,-0.09200365,True,True,True,True,False,0.005618077,0.236056,-0.0937137,0.1867333,0.2335909,0.2464235,0.2475978,0.241122,0.0526702,0,2.866395,-2.423238,-0.006261576,False,False,False,False,False,0.1663112
,0.001626782,0.1428017,0.04322042,0.06531489,0.09245615,0.09481162,0.08599932,0.07531283,0.03467617,0.1861495,3.114765,2.349204,-0.07649906,True,True,True,True,False,0.007122032,0.2496134,-0.08609982,0.1900676,0.2337185,0.2469047,0.2480962,0.2414685,0.03467617,0,2.681531,-2.453764,-0.04120032,False,False,False,False,False,0.1678173
,0.0007177852,0.1449668,0.04335197,0.06590129,0.09214845,0.09444865,0.0857772,0.07511555,0.05170387,0.1949918,3.103415,2.352369,-0.05919149,True,True,True,True,False,0.02326039,0.2853021,-0.09280208,0.2160945,0.2556716,0.2701359,0.2731903,0.2680956,0.05170387,0,2.341905,-2.572045,-0.2819429,False,False,False,False,False,0.196825
,-0.0001387401,0.1467062,0.04316651,0.06584364,0.0918327,0.09441679,0.08577165,0.07499601,0.03108651,0.1998114,3.091892,2.35542,-0.03944364,True,True,True,True,False,0.03280038,0.2998498,-0.1018159,0.2295977,0.2686524,0.2835665,0.28793,0.2839912,0.03108651,0.00535378,2.206639,-2.610646,-0.4457426,False,False,False,False,False,0.2134429
,-0.0006815322,0.1474648,0.0427618,0.06607058,0.09204789,0.09452751,0.08585008,0.07506252,0.02734908,0.1945185,3.093193,2.357093,-0.04304146,True,True,True,True,False,0.02178326,0.294189,-0.1075052,0.2291861,0.2700484,0.2845154,0.2879237,0.2829912,0.02734908,0,2.191255,-2.468976,-0.4393736,False,False,False,False,False,0.2112175
,-0.0009030569,0.1483364,0.04239713,0.06585969,0.09225086,0.09477901,0.08605932,0.07537411,0.02759671,0.1822769,3.108502,2.353552,-0.0587221,True,True,True,True,False,0.006621631,0.2489257,-0.09955122,0.1925306,0.2391643,0.2523475,0.2544183,0.2486278,0.02759671,0,2.584564,-2.458261,-0.1820902,False,False,False,False,False,0.1741384
,-0.0009284239,0.1491708,0.04236827,0.06523713,0.09218629,0.09461498,0.08579789,0.07513894,0.01172966,0.1896973,3.091388,2.358593,-0.04837036,True,True,True,True,False,0.004276677,0.224707,-0.09690124,0.1748438,0.2249132,0.2371058,0.2389282,0.2334213,0.01172966,0,2.970041,-2.376552,0.07928566,False,False,False,False,False,0.1585207
,-0.00128255,0.1491801,0.04302264,0.06572126,0.09219474,0.09456537,0.08576354,0.0750153,0.01935923,0.199598,3.094331,2.357488,-0.04699885,True,True,True,True,False,0.01426388,0.259582,-0.09644753,0.1963169,0.2407623,0.2543997,0.2571365,0.2520171,0.01935923,0,2.537642,-2.46747,-0.1362927,False,False,False,False,False,0.1785558
