Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
Who,,,,,,,,,,,,,,,,,,,0.04184654,0.2717309,-0.06769036,0.04761294,0.08763696,0.0359854,0.03491994,0.03660117,0.1281231,0.05361935,2.507053,-2.982937,-1.43081,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04020673,0.2750219,-0.07307287,0.04628469,0.08744247,0.03615377,0.03504497,0.0364609,0.1256003,0.04570715,2.503003,-2.964562,-1.463167,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0408533,0.2814172,-0.07986135,0.04919034,0.07174588,0.0357987,0.03437025,0.03500275,0.209161,0.02765631,2.441966,-2.957215,-1.452865,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04204966,0.2864891,-0.08145145,0.04962544,0.04526989,0.03313345,0.03351502,0.03494399,0.06472761,0.02687575,2.368968,-3.038664,-1.519121,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04077956,0.2870675,-0.08004229,0.04297758,0.04970018,0.03328441,0.03344676,0.0351969,0.06860527,0,2.360324,-3.044935,-1.517897,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03952814,0.2828496,-0.07866551,0.04468229,0.08554683,0.03575424,0.03446916,0.03574785,0.1112248,0.01367143,2.454258,-3.004571,-1.535686,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0382403,0.2816904,-0.07810718,0.04512686,0.08765706,0.03635233,0.03511051,0.03633577,0.02163092,0.03482596,2.488041,-2.977592,-1.527116,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03832382,0.2823686,-0.07831609,0.04451956,0.0867355,0.03611309,0.0351581,0.03631996,0.03248174,0.03361835,2.49157,-2.970958,-1.534562,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04169956,0.2837572,-0.08047814,0.04745773,0.0609475,0.03539672,0.03425205,0.03487719,0.08698453,0.009067504,2.445856,-2.98363,-1.551591,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04148922,0.2860528,-0.0814465,0.04573692,0.04188028,0.03281273,0.03325635,0.03470546,0.02977688,0.01243827,2.378624,-3.035386,-1.5649,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04064346,0.2871425,-0.08169764,0.0439235,0.04191985,0.03252192,0.03318663,0.03483501,0.03384782,0.011693,2.358634,-3.051683,-1.557774,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03759577,0.2877664,-0.08140948,0.04186893,0.05980987,0.03417578,0.03382406,0.03563215,0.1007513,0,2.360032,-3.026997,-1.516816,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03672841,0.2843938,-0.07969253,0.045858,0.0865423,0.0362025,0.03497019,0.03614835,0.07421518,0.02983096,2.461807,-2.980812,-1.54088,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03570351,0.2824236,-0.07805262,0.04598101,0.08725785,0.0363461,0.03523306,0.03640252,0.04763633,0.03058016,2.489633,-2.962318,-1.572636,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03608013,0.2827741,-0.07907793,0.0470086,0.07986772,0.03621185,0.03496988,0.03573129,0.06104038,0.01228378,2.490103,-2.94767,-1.573624,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03848898,0.2851132,-0.08150963,0.04847064,0.07471649,0.03595679,0.03451025,0.03488876,0.2300549,0,2.460484,-2.938291,-1.596082,False,False,False,False,False,0
